Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
0,2024-03-05_12:20:48,10,14,1.2,0.7965213656425476,0.3313105243267599,5.726823423795521,"[0.5840039253234863, -0.26553699374198914, 0.205264613032341]","[0.51082843542099, -0.11335503309965134, 0.22128358483314514]",[ 0.0054077  -0.00741193  0.03678121  0.99928122],[ 0.49008645 -0.45996519  0.55490123  0.4902366 ]
1,2024-03-05_12:20:48,63,7,1.2,1.018850326538086,0.6787447626288438,4.0602991555148735,"[0.5519275665283203, 0.3236995041370392, 0.20540450513362885]","[0.48919105529785156, 0.20103856921195984, 0.24099794030189514]",[ 0.0047861  -0.00691293  0.01625781  0.99983248],[-0.66195822 -0.00379218 -0.02582063  0.74908626]
2,2024-03-05_12:20:48,66,14,1.2,0.835106611251831,0.49493331286180803,5.62946315101259,"[0.6540126204490662, -0.31580790877342224, 0.20627860724925995]","[0.6086307168006897, -0.12548238039016724, 0.2039666622877121]",[ 0.00240891 -0.00383782  0.41203649  0.91115608],[ 0.46911589 -0.45688874  0.55160529  0.51663775]
3,2024-03-05_12:20:48,38,14,1.2,0.7992578744888306,0.35741371895961455,5.310879589455965,"[0.6128052473068237, -0.19227835536003113, 0.20577411353588104]","[0.5535882115364075, -0.05133424699306488, 0.21404053270816803]",[ 0.01022225 -0.00922607 -0.66413002  0.74749026],[ 0.47840995 -0.4611755   0.55161691  0.5041427 ]
4,2024-03-05_12:20:48,23,7,1.2,0.9808077216148376,0.669093373574078,3.974524707262505,"[0.5913491249084473, 0.3011656701564789, 0.2059907764196396]","[0.5442180037498474, 0.1785552203655243, 0.22975727915763855]",[ 0.00443664 -0.00709775  0.06846924  0.99761811],[-0.65627003 -0.00370542 -0.02425022  0.75412721]
5,2024-03-05_12:20:48,14,14,1.2,0.832821786403656,0.3456967805088297,5.529547738618938,"[0.5911297798156738, -0.22814098000526428, 0.20522932708263397]","[0.5192695260047913, -0.08479507267475128, 0.218035027384758]",[ 0.00989786 -0.01042349 -0.65931757  0.75172717],[ 0.49007822 -0.4658393   0.54857535  0.49181518]
6,2024-03-05_12:20:48,53,7,1.2,0.9503335952758789,0.6179854182562163,3.780241401030411,"[0.5884734392166138, 0.24401450157165527, 0.20617882907390594]","[0.5469428300857544, 0.1208065077662468, 0.22424525022506714]",[-0.00251761  0.00104484  0.75730027  0.65306115],[-0.65329475 -0.00715244 -0.02179396  0.75675613]
7,2024-03-05_12:20:48,25,7,1.2,0.9967289566993713,0.6661655098966781,4.221322575142198,"[0.5895689725875854, 0.36233583092689514, 0.20598487555980682]","[0.5331844091415405, 0.23828250169754028, 0.24014559388160706]",[ 0.00507039 -0.00717674  0.05822111  0.99826504],[-0.65969217  0.00271396 -0.02852148  0.75098962]
8,2024-03-05_12:20:48,79,7,1.2,0.9204946160316467,0.6567090059046939,3.789452618956438,"[0.5561867952346802, 0.37974563241004944, 0.2054273933172226]","[0.5962221622467041, 0.11996764689683914, 0.2204403579235077]",[ 0.00471576 -0.00707418  0.06889201  0.9975879 ],[-0.64756734 -0.00827037 -0.01944312  0.76171524]
9,2024-03-05_12:20:48,26,14,1.2,0.8147910237312317,0.2608106345596615,5.5456064228646476,"[0.5741607546806335, -0.24337449669837952, 0.20499257743358612]","[0.5027217268943787, -0.09042908251285553, 0.2244601845741272]",[ 0.006166   -0.00717623  0.01589484  0.9998289 ],[ 0.48716354 -0.46710399  0.5464884   0.49581849]
